Epoch, Train Loss, Train Acc, Val Loss, Val Acc
318, 0.2595, 0.9240, 2.3841, 0.5465
319, 0.2434, 0.9269, 2.3657, 0.5492
320, 0.2191, 0.9373, 2.3173, 0.5631
321, 0.2093, 0.9361, 2.3947, 0.5511
322, 0.2192, 0.9355, 2.4196, 0.5477
323, 0.2203, 0.9365, 2.4216, 0.5462
324, 0.2296, 0.9320, 2.3875, 0.5533
325, 0.2152, 0.9356, 2.2953, 0.5619
326, 0.2094, 0.9366, 2.3686, 0.5567
327, 0.1983, 0.9411, 2.3778, 0.5507
328, 0.1954, 0.9433, 2.3598, 0.5556
329, 0.1994, 0.9422, 2.3895, 0.5604
330, 0.1972, 0.9430, 2.3823, 0.5559
331, 0.1956, 0.9428, 2.6369, 0.5357
332, 0.2006, 0.9432, 2.3914, 0.5604
333, 0.2205, 0.9316, 2.3801, 0.5721
334, 0.1936, 0.9439, 2.4876, 0.5409
335, 0.2166, 0.9371, 2.4242, 0.5511
336, 0.2042, 0.9388, 2.3559, 0.5642
337, 0.2080, 0.9388, 2.4678, 0.5522
338, 0.1776, 0.9483, 2.3797, 0.5597
339, 0.1978, 0.9403, 2.4718, 0.5601
340, 0.1859, 0.9441, 2.4362, 0.5548
341, 0.1794, 0.9475, 2.4135, 0.5755
342, 0.1872, 0.9455, 2.4087, 0.5732
343, 0.2061, 0.9405, 2.5842, 0.5529
344, 0.1976, 0.9428, 2.3396, 0.5642
345, 0.1967, 0.9417, 2.4626, 0.5668
346, 0.2042, 0.9373, 2.4071, 0.5653
347, 0.1999, 0.9409, 2.3406, 0.5724
348, 0.2032, 0.9386, 2.3436, 0.5604
349, 0.1728, 0.9520, 2.3521, 0.5597
350, 0.1851, 0.9438, 2.3571, 0.5773
351, 0.1738, 0.9471, 2.4388, 0.5691
352, 0.1808, 0.9453, 2.3421, 0.5815
353, 0.1925, 0.9403, 2.2900, 0.5736
354, 0.1811, 0.9474, 2.5103, 0.5589
355, 0.1862, 0.9457, 2.5089, 0.5642
356, 0.1795, 0.9495, 2.3365, 0.5694
357, 0.1767, 0.9467, 2.2379, 0.5785
358, 0.1571, 0.9552, 2.3562, 0.5785
359, 0.1568, 0.9540, 2.4228, 0.5619
360, 0.1463, 0.9593, 2.3478, 0.5788
361, 0.1473, 0.9586, 2.4519, 0.5728
362, 0.1559, 0.9559, 2.3330, 0.5905
363, 0.1614, 0.9526, 2.3303, 0.5770
364, 0.1603, 0.9543, 2.3462, 0.5777
365, 0.1665, 0.9514, 2.3561, 0.5852
366, 0.1705, 0.9500, 2.2752, 0.5987
